學校類型,學校代碼,學校名稱,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
大專校院,0001,國立政治大學,534,588,319,572,66,910,0,0,0
大專校院,0002,國立清華大學,457,274,215,56,147,0,0,0,0
大專校院,0003,國立臺灣大學,793,1132,421,802,628,1041,0,0,0
大專校院,0004,國立臺灣師範大學,558,617,109,99,0,4326,0,0,0
大專校院,0004A,國立臺灣師大僑生先修部,0,850,0,0,0,0,0,0,0
大專校院,0005,國立成功大學,753,641,137,66,208,1059,0,0,0
大專校院,0006,國立中興大學,268,423,37,67,33,199,0,0,0
大專校院,0007,國立交通大學,517,387,157,174,149,537,0,0,0
大專校院,0008,國立中央大學,425,243,75,78,53,172,0,0,0
大專校院,0009,國立中山大學,212,236,54,135,344,469,0,0,0
大專校院,0012,國立臺灣海洋大學,95,319,22,6,18,0,0,0,0
大專校院,0013,國立中正大學,136,376,37,16,128,0,0,0,0
大專校院,0014,國立高雄師範大學,32,135,21,10,15,405,0,0,0
大專校院,0015,國立彰化師範大學,38,187,25,6,0,44,0,0,85
大專校院,0016,國立陽明大學,94,124,15,3,93,0,0,0,0
大專校院,0017,國立臺北大學,47,276,44,24,18,0,0,0,0
大專校院,0018,國立嘉義大學,85,401,7,7,0,162,0,0,0
大專校院,0019,國立高雄大學,18,165,14,34,0,49,0,0,0
大專校院,0020,國立東華大學,260,362,28,16,0,0,0,0,0
大專校院,0021,國立暨南國際大學,62,647,20,6,1,0,0,0,0
大專校院,0022,國立臺灣科技大學,620,253,130,209,25,0,0,0,0
大專校院,0023,國立雲林科技大學,76,203,91,9,3,0,0,0,51
大專校院,0024,國立屏東科技大學,263,317,9,0,62,86,0,99,0
大專校院,0025,國立臺北科技大學,330,208,80,63,4,153,0,0,0
大專校院,0026,國立高雄第一科技大學,42,98,47,30,14,0,0,0,0
大專校院,0027,國立高雄應用科技大學,123,122,16,5,0,0,0,0,0
